ORG	GRAM	ORGANISM	ORG_CLEAN	STATUS	COMMON	ORG_GROUP	SUB_GROUP	GENUS	GENUS_CODE	SCT_CODE	SCT_TEXT	EXCLUDE
eho	-	Edwardsiella hoshinae	Edwardsiella hoshinae	C		EBC		Edwardsiella	EDW	4280005	Edwardsiella hoshinae	FALSE
shd	-	Shigella sonnei	Shigella sonnei	C		EBC		Shigella	SHI	4298009	Shigella sonnei	FALSE
s01	-	Shigella sonnei Form I	Shigella sonnei Form I	C		EBC		Shigella	SHI	4298009	Shigella sonnei	FALSE
s02	-	Shigella sonnei Form II	Shigella sonnei Form II	C		EBC		Shigella	SHI	4298009	Shigella sonnei	FALSE
thm	-	Salmonella Thompson	Salmonella Thompson	C		EBC	GRC	Salmonella	SAL	4361005	Salmonella Thompson	FALSE
mna	f	Microsporum nanum	Microsporum nanum	C		FUNGUS		Microsporum	MIS	4488001	Microsporum nanum	FALSE
tgo	w	Toxoplasma gondii	Toxoplasma gondii	C		COCCID		Toxoplasma	TOP	4649006	Toxoplasma gondii	FALSE
ehi	w	Entamoeba histolytica	Entamoeba histolytica	C		AMEBA		Entamoeba	ENW	4716008	Entamoeba histolytica	FALSE
ehd	w	Entamoeba histolytica/dispar	Entamoeba histolytica/dispar	C		AMEBA		Entamoeba	ENW	4716008	Entamoeba histolytica	FALSE
tsu	f	Trichophyton soudanense	Trichophyton soudanense	C		FUNGUS		Trichophyton	TRY	4983002	Trichophyton soudanense	FALSE
mgn	b	Mycoplasma genitalium	Mycoplasma genitalium	C		MYCOP		Mycoplasma	MYP	5056007	Mycoplasma genitalium	FALSE
ruv	v	Rubella virus	Rubella virus	C		RNA				5210005	Rubella virus	FALSE
cur	f	Curvularia sp.	Curvularia sp.	C		check		Curvularia	CUR	5214001	Curvularia	FALSE
bpe	-	Bordetella pertussis	Bordetella pertussis	C		GNCB		Bordetella	BD-	5247005	Bordetella pertussis	FALSE
ttr	w	Trichuris trichiura	Trichuris trichiura	C		NEMAT		Trichuris	TRC	5378007	Trichuris trichiura	FALSE
egg	-	Enterobacter gergoviae	Enterobacter gergoviae	C		EBC		Enterobacter	EN-	5381002	Enterobacter gergoviae	FALSE
tco	f	Trichophyton concentricum	Trichophyton concentricum	C		FUNGUS		Trichophyton	TRY	5389000	Trichophyton concentricum	FALSE
hes	-	Salmonella Chester	Salmonella Chester	C		EBC	GRB	Salmonella	SAL	5461002	Salmonella Chester	FALSE
sat	-	Salmonella Typhi	Salmonella Typhi	C	X	EBC	GRD	Salmonella	SAL	5595000	Salmonella Typhi	FALSE
eac	a	Eubacterium alactolyticum	Eubacterium alactolyticum	C		NOSPORE		Eubacterium	EUB	5615005	Eubacterium	FALSE
ele	a	Eubacterium lentum	Eubacterium lentum	C		NOSPORE		Eubacterium	EUB	5615005	Eubacterium	FALSE
esk	a	Eubacterium schtitka	Eubacterium schtitka	C		NOSPORE		Eubacterium	EUB	5615005	Eubacterium	FALSE
eti	a	Eubacterium timidum	Eubacterium timidum	C		NOSPORE		Eubacterium	EUB	5615005	Eubacterium	FALSE
chp	w	Capillaria hepatica	Capillaria hepatica	C		NEMAT		Capillaria	CAI	5782007	Capillaria hepatica	FALSE
cdt	+	Corynebacterium diphtheriae	Corynebacterium diphtheriae	C		COF		Corynebacterium	COR	5851001	Corynebacterium diphtheriae	FALSE
cdp	+	Corynebacterium sp. (diphtheroids)	Corynebacterium sp. (diphtheroids)	C	X	COF		Corynebacterium	COR	5851001	Corynebacterium sp. (diphtheroids)	FALSE
mfl	m	Mycobacterium flavescens	Mycobacterium flavescens	C		MYCO		Mycobacterium	MYC	5885000	Mycobacterium flavescens	FALSE
svr	-	Salmonella Virchow	Salmonella Virchow	C		EBC	GRC	Salmonella	SAL	5929008	Salmonella Virchow	FALSE
cdf	a	Clostridium difficile	Clostridium difficile	C		SPORE		Clostridium	CLO	5933001	Clostridium difficile	FALSE
mde	m	Mycobacterium diernhoferi	Mycobacterium diernhoferi	C		MYCO		Mycobacterium	MYC	6199007	Mycobacterium diernhoferi	FALSE
tpp	b	Treponema pallidum ss. pertenue	Treponema pallidum ss. pertenue	C		TREP		Treponema	TRE	6246005	Treponema pallidum ss. pertenue	FALSE
cfr	-	Citrobacter freundii	Citrobacter freundii	C	X	EBC		Citrobacter	CI-	6265002	Citrobacter freundii	FALSE
g56	-	Salmonella Group 56 (O:56)	Salmonella Group 56	C		EBC	G56	Salmonella	SAL	6272001	Salmonella II 56:b-	FALSE
vfu	-	Vibrio furnissii	Vibrio furnissii	C		FERM		Vibrio	VI-	6387008	Vibrio furnissii	FALSE
bvc	+	Brevibacterium casei	Brevibacterium casei	C		COF		Brevibacterium	BRE	6405003	Brevibacterium casei	FALSE
rsv	v	Respiratory syncytial virus	Respiratory syncytial virus	C	C	RNA				6415009	Human respiratory syncytial virus	FALSE
hse	-	Aggregatibacter segnis	Aggregatibacter sp.	C		HAK		Aggregatibacter	AGT	6520007	Haemophilus segnis	FALSE
spg	+	Streptomyces paraguayensis	Streptomyces paraguayensis	C		GPR		Streptomyces	STP	6586003	Streptomyces paraguayensis	FALSE
sea	a	Selenomonas artemidis	Selenomonas artemidis	C		AGNR		Selenomonas	SEL	6754006	Selenomonas artemidis	FALSE
aka	f	Arthrographis kalrae	Arthrographis kalrae	C		FUNGUS		Arthrographis	ART	6791000	Arthrographis kalrae	FALSE
mcu	a	Mobiluncus curtisii	Mobiluncus curtisii	O		NOSPORE		Mobiluncus	MOB	6847008	Mobiluncus curtisii ss. curtisii	FALSE
vho	-	CDC EF-13	CDC EF-13	O		FERM		Vibrio	VI-	7064002	Vibrio hollisae	FALSE
bls	w	Blastocystis sp.	Blastocystis sp.	C		AMEBA		Blastocystis	BLS	7104002	Blastocystis	FALSE
cln	f	Cryptococcus laurentii	Cryptococcus laurentii	C		FUNGUS		Cryptococcus	CRY	7299008	Cryptococcus laurentii	FALSE
cho	-	Cardiobacterium hominis	Cardiobacterium hominis	C		HAK		Cardiobacterium	CAR	7333005	Cardiobacterium hominis	FALSE
lau	-	Legionella interrogans serovar autumnalis	Legionella interrogans serovar autumnalis	C		GNCB		Legionella	LEG	7527002	Legionella	FALSE
lba	-	Legionella interrogans serovar ballum	Legionella interrogans serovar ballum	C		GNCB		Legionella	LEG	7527002	Legionella	FALSE
lbt	-	Legionella interrogans serovar bataviae	Legionella interrogans serovar bataviae	C		GNCB		Legionella	LEG	7527002	Legionella	FALSE
lcc	-	Legionella interrogans serovar canicola	Legionella interrogans serovar canicola	C		GNCB		Legionella	LEG	7527002	Legionella	FALSE
lgp	-	Legionella interrogans serovar grippotyphosa	Legionella interrogans serovar grippotyphosa	C		GNCB		Legionella	LEG	7527002	Legionella	FALSE
lic	-	Legionella interrogans serovar icterohaemorr	Legionella interrogans serovar icterohaemorr	C		GNCB		Legionella	LEG	7527002	Legionella	FALSE
aan	-	Acinetobacter anitratus	Acinetobacter anitratus	C		NFR		Acinetobacter	AC-	7757008	Acinetobacter	FALSE
ac-	-	Acinetobacter sp.	Acinetobacter sp.	C		NFR		Acinetobacter	AC-	7757008	Acinetobacter	FALSE
pcn	-	Pasteurella canis	Pasteurella canis	C		FERM		Pasteurella	PAS	7784009	Pasteurella canis	FALSE
acy	-	Arcobacter cryaerophilus	Arcobacter cryaerophilus	C		GNCB		Arcobacter	ARC	7858008	Arcobacter cryaerophilus	FALSE
cca	a	Clostridium carnis	Clostridium carnis	C		SPORE		Clostridium	CLO	7889007	Clostridium carnis	FALSE
sui	+	Streptococcus suis	Streptococcus suis	C		SVI		Streptococcus	STR	7912006	Streptococcus suis	FALSE
sba	-	Salmonella Bareilly	Salmonella Bareilly	C		EBC	GRC	Salmonella	SAL	8044005	Salmonella Bareilly	FALSE
sgl	+	Staphylococcus gallinarum	Staphylococcus gallinarum	C		SCN		Staphylococcus	STA	8056006	Staphylococcus gallinarum	FALSE
lwa	-	Legionella wadsworthii	Legionella wadsworthii	C		GNCB		Legionella	LEG	8147000	Legionella wadsworthii	FALSE
cbi	a	Clostridium bifermentans	Clostridium bifermentans	C		SPORE		Clostridium	CLO	8208007	Clostridium bifermentans	FALSE
cpe	a	Clostridium perfringens	Clostridium perfringens	C		SPORE		Clostridium	CLO	8331005	Clostridium perfringens	FALSE
ske	-	Salmonella Kentucky	Salmonella Kentucky	C		EBC	GRC	Salmonella	SAL	8455004	Salmonella Kentucky	FALSE
pot	-	Salmonella Potsdam	Salmonella Potsdam	C		EBC	GRC	Salmonella	SAL	8544001	Salmonella Potsdam	FALSE
gm+	+	Gram positive bacteria	Gram positive bacteria	C						8745002	Gram-positive bacteria	FALSE
ane	a	Actinomyces naeslundii	Actinomyces naeslundii	C		NOSPORE		Actinomyces	ACT	8940004	Actinomyces naeslundii	FALSE
chy	-	Campylobacter hyointestinalis	Campylobacter hyointestinalis	C		GNCB		Campylobacter	CAM	9041007	Campylobacter hyointestinalis	FALSE
mhy	a	Megamonas hypermegas	Megamonas hypermegas	C		check		Megamonas	MEG	9199006	Megamonas hypermegas	FALSE
ave	-	Aeromonas veronii	Aeromonas veronii	C		FERM		Aeromonas	AER	9281006	Aeromonas veronii	FALSE
xaf	o	No acid-fast bacilli found	No acid-fast bacilli were found	C		OTHER				9338005	No living organism identified (organism)	TRUE
xab	o	No anaerobes found	No anaerobes were found	C		OTHER				9338005	No living organism identified (organism)	TRUE
xcd	o	No C. difficile found	No C. difficile was found	C		OTHER				9338005	No living organism identified (organism)	TRUE
xca	o	No Campylobacter found	No Campylobacter were found	C		OTHER				9338005	No living organism identified (organism)	TRUE
xch	o	No Chlamydia found	No Chlamydia were found	C		OTHER				9338005	No living organism identified (organism)	TRUE
xep	o	No enteric pathogens found	No enteric pathogens were found	C		OTHER				9338005	No living organism identified (organism)	TRUE
xfu	o	No fungi found	No fungi found	C		OTHER				9338005	No living organism identified (organism)	TRUE
xxx	o	No growth	No growth	C	X	OTHER				9338005	No living organism identified	TRUE
xle	o	No Legionalla found	No Legionalla found	C		OTHER				9338005	No living organism identified (organism)	TRUE
xmr	o	No MRSA found	No MRSA were found	C		OTHER				9338005	No living organism identified (organism)	TRUE
xmy	o	No mycobacteria found	No mycobacteria were found	C		OTHER				9338005	No living organism identified (organism)	TRUE
xgo	o	No N. gonorrhoeae found	No N. gonorrhoeae found	C		OTHER				9338005	No living organism identified (organism)	TRUE
xgc	o	No N. gonorrhoeae or Chlamydia found	No N. gonorrhoeae or Chlamydia found	C		OTHER				9338005	No living organism identified (organism)	TRUE
xop	o	No parasites found	No parasites were found	C		OTHER				9338005	No living organism identified (organism)	TRUE
xpa	o	No pathogens found	No pathogens found	C		OTHER				9338005	No living organism identified (organism)	TRUE
xpl	o	No Plasmodium found	No Plasmodium were found	C		OTHER				9338005	No living organism identified (organism)	TRUE
xsa	o	No Salmonella found	No Salmonella were found	C		OTHER				9338005	No living organism identified (organism)	TRUE
xsg	o	No significant growth found	No significant growth found	C		OTHER				9338005	No living organism identified (organism)	TRUE
xvr	o	No VRE were found	No VRE were found	C		OTHER				9338005	No living organism identified (organism)	TRUE
swd	-	Salmonella Wandsworth	Salmonella Wandsworth	C		EBC	GRQ	Salmonella	SAL	9479007	Salmonella Wandsworth	FALSE
hpv	v	Human papillomavirus	Human papillomavirus	C	C	DNA				9482002	Human papillomavirus	FALSE
smb	-	Salmonella Mbandaka	Salmonella Mbandaka	C		EBC	GRC	Salmonella	SAL	9506004	Salmonella Mbandaka	FALSE
lam	a	Lactobacillus amylovorus	Lactobacillus amylovorus	C		GPR		Lactobacillus	LAC	9534006	Lactobacillus amylovorus	FALSE
cbe	a	Clostridium beijerinckii	Clostridium beijerinckii	C		SPORE		Clostridium	CLO	9766004	Clostridium beijerinckii	FALSE
scu	+	Staphylococcus carnosus	Staphylococcus carnosus	C		SCN		Staphylococcus	STA	9784002	Staphylococcus carnosus	FALSE
spn	+	Streptococcus pneumoniae	Streptococcus pneumoniae	C	X			Streptococcus	STR	9861002	Streptococcus pneumoniae	FALSE
mfx	m	Mycobacterium fallax	Mycobacterium fallax	C		MYCO		Mycobacterium	MYC	9939008	Mycobacterium fallax	FALSE
raq	-	Rahnella aquatilis	Rahnella aquatilis	C		EBC		Rahnella	RAH	10021006	Rahnella aquatilis	FALSE
sfr	+	Streptococcus ferus	Streptococcus ferus	C		SVI		Streptococcus	STR	10049004	Streptococcus ferus	FALSE
txc	w	Toxocara cati	Toxocara cati	C		NEMAT		Toxocara	TOX	10108001	Giardia cati	FALSE
fac	w	Fasciolopsis sp.	Fasciolopsis sp.	C		TREMA		Fasciolopsis	FAC	10211007	Fasciolopsis	FALSE
ema	+	Enterococcus malodoratus	Enterococcus malodoratus	C		CatNeg		Enterococcus	ENT	10262005	Enterococcus malodoratus	FALSE
yin	-	Yersinia intermedia	Yersinia intermedia	C		EBC		Yersinia	YER	10334001	Yersinia intermedia	FALSE
hmu	-	Helicobacter mustelae	Helicobacter mustelae	C		GNCB		Helicobacter	HEL	10402009	Helicobacter mustelae	FALSE
sod	-	Serratia odorifera	Serratia odorifera	C		EBC		Serratia	SE-	10413007	Serratia odorifera	FALSE
cgh	a	Clostridium ghoni	Clostridium ghoni	C		SPORE		Clostridium	CLO	10467001	Clostridium ghonii	FALSE
bbr	-	Bordetella bronchiseptica	Bordetella bronchiseptica	C		GNCB		Bordetella	BD-	10620008	Bordetella bronchiseptica	FALSE
srt	+	Streptococcus rattus	Streptococcus rattus	C		SVI		Streptococcus	STR	10667007	Streptococcus ratti	FALSE
ssm	+	Streptomyces somaliensis	Streptomyces somaliensis	C		GPR		Streptomyces	STP	11007001	Streptomyces somaliensis	FALSE
cvi	-	Chromobacterium violaceum	Chromobacterium violaceum	C		FERM		Chromobacterium	CHM	11042002	Chromobacterium violaceum	FALSE
csc	a	Clostridium scatologenes	Clostridium scatologenes	C		SPORE		Clostridium	CLO	11043007	Clostridium scatologenes	FALSE
tya	f	Trichophyton yaoundei	Trichophyton yaoundei	C		FUNGUS		Trichophyton	TRY	11154000	Trichophyton yaoundei	FALSE
ebi	w	Enterocytozoon bieneusi	Enterocytozoon bieneusi	C		MICROS		Enterocytozoon	ENZ	11221006	Enterocytozoon bieneusi	FALSE
oul	-	CDC IVe	CDC IVe	O		NFR		Oligella	OLI	11309009	Oligella ureolytica	FALSE
mli	b	Mycoplasma lipophilum	Mycoplasma lipophilum	C		MYCOP		Mycoplasma	MYP	11412008	Mycoplasma lipophilum	FALSE
bct	a	Bifidobacterium catenulatum	Bifidobacterium catenulatum	C		NOSPORE		Bifidobacterium	BIF	11539003	Bifidobacterium catenulatum	FALSE
baa	b	Brachyspira aalborgii	Brachyspira aalborgii	C		TREP		Brachyspira	BRS	11572003	Brachyspira	FALSE
stw	f	Scolecobasidium tshawytschae	Scolecobasidium tshawytschae	C		FUNGUS		Scolecobasidium	SCB	11591003	Scolecobasidium tshawytschae	FALSE
vip	-	Vibrio parahaemolyticus	Vibrio parahaemolyticus	C		FERM		Vibrio	VI-	11736008	Vibrio parahemolyticus	FALSE
vmi	-	Vibrio mimicus	Vibrio mimicus	C		FERM		Vibrio	VI-	11776003	Vibrio mimicus	FALSE
ard	f	Arthroderma sp.	Arthroderma sp.	C		FUNGUS		Arthroderma	ARD	11860003	Arthroderma	FALSE
cyn	f	Cylindrocarpon cyanescens	Cylindrocarpon cyanescens	C		FUNGUS		Cylindrocarpon	CYL	11876007	Cylindrocarpon	FALSE
cyl	f	Cylindrocarpon sp.	Cylindrocarpon sp.	C		FUNGUS		Cylindrocarpon	CYL	11876007	Cylindrocarpon	FALSE
uur	b	Ureaplasma urealyticum	Ureaplasma urealyticum	C		MYCOP		Ureaplasma	URE	12006007	Ureaplasma urealyticum	FALSE
cpd	+	Corynebacterium pseudodiphtheriticum	Corynebacterium pseudodiphtheriticum	C		COF		Corynebacterium	COR	12050008	Corynebacterium pseudodiphtheriticum	FALSE
aod	a	Actinomyces odontolyticus	Actinomyces odontolyticus	C		NOSPORE		Actinomyces	ACT	12069003	Actinomyces odontolyticus	FALSE
ero	f	Exophiala rostratum	Exophiala rostratum	C		FUNGUS		Exophiala	EXO	12210004	Exophiala	FALSE
exo	f	Exophiala sp.	Exophiala sp.	C		FUNGUS		Exophiala	EXO	12210004	Exophiala	FALSE
ind	-	Salmonella Indiana	Salmonella Indiana	C		EBC		Salmonella	SAL	12278000	Salmonella Indiana	FALSE
ttn	w	Trichomonas tenax	Trichomonas tenax	C		FLAG		Trichomonas	TRM	12549002	Trichomonas tenax	FALSE
ibe	w	Isospora belli	Isospora belli	C		COCCID		Isospora	ISO	12633005	Isospora belli	FALSE
eby	a	Eubacterium brachy	Eubacterium brachy	C		NOSPORE		Eubacterium	EUB	12734008	Eubacterium brachy	FALSE
ars	f	Aspergillus restrictus	Aspergillus restrictus	C		FUNGUS		Aspergillus	ASP	12871004	Aspergillus restrictus	FALSE
cma	a	Clostridium malenominatum	Clostridium malenominatum	C		SPORE		Clostridium	CLO	12948002	Clostridium malenominatum	FALSE
het	w	Heterophyes sp.	Heterophyes sp.	C		TREMA		Heterophyes	HET	13029007	Heterophyes	FALSE
cbo	a	Clostridium botulinum	Clostridium botulinum	C		SPORE		Clostridium	CLO	13080008	Clostridium botulinum	FALSE
vvi	v	Vaccinia virus	Vaccinia virus	C		DNA				13126002	Vaccinia virus	FALSE
srp	o	Sarcoptes species	Sarcoptes species	C				Sarcoptes	SRP	13228009	Sarcoptes	FALSE
sub	+	Streptococcus uberis	Streptococcus uberis	C		SVI		Streptococcus	STR	13250005	Streptococcus uberis	FALSE
ecm	a	Eubacterium combesii	Eubacterium combesii	C		NOSPORE		Eubacterium	EUB	13257008	Eubacterium combesii	FALSE
bfi	+	Bacillus firmus	Bacillus firmus	C		GPR		Bacillus	BCS	13430008	Bacillus firmus	FALSE
hs2	v	Herpes simplex virus 2	Herpes simplex virus 2	C	C	DNA				13687007	Human herpes simplex virus type 2	FALSE
mmu	a	Mobiluncus mulieris	Mobiluncus mulieris	C		NOSPORE		Mobiluncus	MOB	13716002	Mobiluncus mulieris	FALSE
mgl	f	Microsporum gallinae	Microsporum gallinae	C		FUNGUS		Microsporum	MIS	13862003	Microsporum gallinae	FALSE
aju	-	Acinetobacter junii	Acinetobacter junii	C		NFR		Acinetobacter	AC-	13879009	Acinetobacter junii	FALSE
lst	-	Legionella steigerwaltii	Legionella steigerwaltii	C		GNCB		Legionella	LEG	14121003	Legionella steigerwaltii	FALSE
cfx	a	Clostridium fallax	Clostridium fallax	C		SPORE		Clostridium	CLO	14264000	Clostridium fallax	FALSE
psp	-	Pasteurella multocida ss. septica	Pasteurella multocida ss. septica	C		FERM		Pasteurella	PAS	14298009	Pasteurella multocida ss. septica	FALSE
lpl	a	Lactobacillus plantarum	Lactobacillus plantarum	C		GPR		Lactobacillus	LAC	14332009	Lactobacillus plantarum	FALSE
bcc	a	Bacteroides caccae	Bacteroides caccae	C		AGNR		Bacteroides	BAC	14342006	Bacteroides caccae	FALSE
ecl	-	Enterobacter cloacae	Enterobacter cloacae	C	X	EBC		Enterobacter	EN-	14385002	Enterobacter cloacae	FALSE
scs	f	Scolecobasidium constrictum	Scolecobasidium constrictum	C		FUNGUS		Scolecobasidium	SCB	14462004	Scolecobasidium	FALSE
bat	w	Balantidium sp.	Balantidium sp.	C		CILIA		Balantidium	BAT	14479005	Balantidium	FALSE
rol	f	Rhizopus microsporus var. oligosporus	Rhizopus microsporus var. oligosporus	C		FUNGUS		Rhizopus	RHZ	14504004	Rhizopus microsporus	FALSE
aob	f	Arthroderma obtusum	Arthroderma obtusum	C		FUNGUS		Arthroderma	ARD	14516005	Arthroderma obtusum	FALSE
